seccion_ine|distrito_ine|municipio_ine|distrito_mitma|municipio_mitma|gau_mitma
3500101001|3500101|35001|35001|35001|35001
3500101002|3500101|35001|35001|35001|35001
3500101003|3500101|35001|35001|35001|35001
3500101004|3500101|35001|35001|35001|35001
3500101005|3500101|35001|35001|35001|35001
3500201001|3500201|35002|35002|35002|GAU Gran Canaria Sur
3500201002|3500201|35002|35002|35002|GAU Gran Canaria Sur
3500201003|3500201|35002|35002|35002|GAU Gran Canaria Sur
3500201004|3500201|35002|35002|35002|GAU Gran Canaria Sur
3500201005|3500201|35002|35002|35002|GAU Gran Canaria Sur
3500201006|3500201|35002|35002|35002|GAU Gran Canaria Sur
3500201007|3500201|35002|35002|35002|GAU Gran Canaria Sur
3500201008|3500201|35002|35002|35002|GAU Gran Canaria Sur
3500201009|3500201|35002|35002|35002|GAU Gran Canaria Sur
3500201010|3500201|35002|35002|35002|GAU Gran Canaria Sur
3500201011|3500201|35002|35002|35002|GAU Gran Canaria Sur
3500201012|3500201|35002|35002|35002|GAU Gran Canaria Sur
3500201013|3500201|35002|35002|35002|GAU Gran Canaria Sur
3500201014|3500201|35002|35002|35002|GAU Gran Canaria Sur
3500201015|3500201|35002|35002|35002|GAU Gran Canaria Sur
3500201016|3500201|35002|35002|35002|GAU Gran Canaria Sur
3500201017|3500201|35002|35002|35002|GAU Gran Canaria Sur
3500201018|3500201|35002|35002|35002|GAU Gran Canaria Sur
3500201019|3500201|35002|35002|35002|GAU Gran Canaria Sur
3500201020|3500201|35002|35002|35002|GAU Gran Canaria Sur
3500201021|3500201|35002|35002|35002|GAU Gran Canaria Sur
3500201022|3500201|35002|35002|35002|GAU Gran Canaria Sur
3500201023|3500201|35002|35002|35002|GAU Gran Canaria Sur
3500301001|3500301|35003|35003_AM|35003_AM|35003_AM
3500301002|3500301|35003|35003_AM|35003_AM|35003_AM
3500301003|3500301|35003|35003_AM|35003_AM|35003_AM
3500301004|3500301|35003|35003_AM|35003_AM|35003_AM
3500301005|3500301|35003|35003_AM|35003_AM|35003_AM
3500401001|3500401|35004|3500401|35004|GAU Arrecife
3500401002|3500401|35004|3500401|35004|GAU Arrecife
3500401003|3500401|35004|3500401|35004|GAU Arrecife
3500401004|3500401|35004|3500401|35004|GAU Arrecife
3500401005|3500401|35004|3500401|35004|GAU Arrecife
3500401006|3500401|35004|3500401|35004|GAU Arrecife
3500401007|3500401|35004|3500401|35004|GAU Arrecife
3500401008|3500401|35004|3500401|35004|GAU Arrecife
3500401009|3500401|35004|3500401|35004|GAU Arrecife
3500401010|3500401|35004|3500401|35004|GAU Arrecife
3500401011|3500401|35004|3500401|35004|GAU Arrecife
3500401012|3500401|35004|3500401|35004|GAU Arrecife
3500402001|3500402|35004|3500402|35004|GAU Arrecife
3500402002|3500402|35004|3500402|35004|GAU Arrecife
3500402003|3500402|35004|3500402|35004|GAU Arrecife
3500402004|3500402|35004|3500402|35004|GAU Arrecife
3500402005|3500402|35004|3500402|35004|GAU Arrecife
3500402006|3500402|35004|3500402|35004|GAU Arrecife
3500402007|3500402|35004|3500402|35004|GAU Arrecife
3500402008|3500402|35004|3500402|35004|GAU Arrecife
3500402009|3500402|35004|3500402|35004|GAU Arrecife
3500402010|3500402|35004|3500402|35004|GAU Arrecife
3500402011|3500402|35004|3500402|35004|GAU Arrecife
3500402012|3500402|35004|3500402|35004|GAU Arrecife
3500402013|3500402|35004|3500402|35004|GAU Arrecife
3500402014|3500402|35004|3500402|35004|GAU Arrecife
3500402015|3500402|35004|3500402|35004|GAU Arrecife
3500402016|3500402|35004|3500402|35004|GAU Arrecife
3500402017|3500402|35004|3500402|35004|GAU Arrecife
3500402018|3500402|35004|3500402|35004|GAU Arrecife
3500402019|3500402|35004|3500402|35004|GAU Arrecife
3500402020|3500402|35004|3500402|35004|GAU Arrecife
3500501001|3500501|35005|35025_AM|35025_AM|35025_AM
3500601001|3500601|35006|35006|35006|GAU Las Palmas de Gran Canaria
3500601002|3500601|35006|35006|35006|GAU Las Palmas de Gran Canaria
3500601003|3500601|35006|35006|35006|GAU Las Palmas de Gran Canaria
3500601004|3500601|35006|35006|35006|GAU Las Palmas de Gran Canaria
3500601005|3500601|35006|35006|35006|GAU Las Palmas de Gran Canaria
3500602001|3500602|35006|35006|35006|GAU Las Palmas de Gran Canaria
3500602002|3500602|35006|35006|35006|GAU Las Palmas de Gran Canaria
3500602003|3500602|35006|35006|35006|GAU Las Palmas de Gran Canaria
3500603001|3500603|35006|35006|35006|GAU Las Palmas de Gran Canaria
3500603002|3500603|35006|35006|35006|GAU Las Palmas de Gran Canaria
3500603003|3500603|35006|35006|35006|GAU Las Palmas de Gran Canaria
3500603004|3500603|35006|35006|35006|GAU Las Palmas de Gran Canaria
3500604001|3500604|35006|35006|35006|GAU Las Palmas de Gran Canaria
3500604002|3500604|35006|35006|35006|GAU Las Palmas de Gran Canaria
3500604003|3500604|35006|35006|35006|GAU Las Palmas de Gran Canaria
3500604004|3500604|35006|35006|35006|GAU Las Palmas de Gran Canaria
3500605001|3500605|35006|35006|35006|GAU Las Palmas de Gran Canaria
3500605002|3500605|35006|35006|35006|GAU Las Palmas de Gran Canaria
3500605003|3500605|35006|35006|35006|GAU Las Palmas de Gran Canaria
3500605004|3500605|35006|35006|35006|GAU Las Palmas de Gran Canaria
3500605005|3500605|35006|35006|35006|GAU Las Palmas de Gran Canaria
3500605006|3500605|35006|35006|35006|GAU Las Palmas de Gran Canaria
3500606001|3500606|35006|35006|35006|GAU Las Palmas de Gran Canaria
3500606002|3500606|35006|35006|35006|GAU Las Palmas de Gran Canaria
3500606003|3500606|35006|35006|35006|GAU Las Palmas de Gran Canaria
3500607001|3500607|35006|35006|35006|GAU Las Palmas de Gran Canaria
3500607002|3500607|35006|35006|35006|GAU Las Palmas de Gran Canaria
3500701001|3500701|35007|35003_AM|35003_AM|35003_AM
3500801001|3500801|35008|35008|35008|35008
3500801002|3500801|35008|35008|35008|35008
3500802001|3500802|35008|35008|35008|35008
3500803001|3500803|35008|35008|35008|35008
3500803002|3500803|35008|35008|35008|35008
3500804001|3500804|35008|35008|35008|35008
3500804002|3500804|35008|35008|35008|35008
3500901001|3500901|35009|35009|35009|35009
3500901002|3500901|35009|35009|35009|35009
3500901003|3500901|35009|35009|35009|35009
3500901004|3500901|35009|35009|35009|35009
3500901005|3500901|35009|35009|35009|35009
3500901006|3500901|35009|35009|35009|35009
3500901007|3500901|35009|35009|35009|35009
3500901008|3500901|35009|35009|35009|35009
3500901009|3500901|35009|35009|35009|35009
3500901010|3500901|35009|35009|35009|35009
3500901011|3500901|35009|35009|35009|35009
3500901013|3500901|35009|35009|35009|35009
3500901014|3500901|35009|35009|35009|35009
3500901015|3500901|35009|35009|35009|35009
3500901016|3500901|35009|35009|35009|35009
3500901017|3500901|35009|35009|35009|35009
3501001001|3501001|35010|35010|35010|35010
3501001002|3501001|35010|35010|35010|35010
3501001003|3501001|35010|35010|35010|35010
3501001004|3501001|35010|35010|35010|35010
3501101001|3501101|35011|3501101|35011|GAU Gran Canaria Sur
3501101002|3501101|35011|3501101|35011|GAU Gran Canaria Sur
3501101003|3501101|35011|3501101|35011|GAU Gran Canaria Sur
3501101004|3501101|35011|3501101|35011|GAU Gran Canaria Sur
3501101005|3501101|35011|3501101|35011|GAU Gran Canaria Sur
3501101006|3501101|35011|3501101|35011|GAU Gran Canaria Sur
3501101007|3501101|35011|3501101|35011|GAU Gran Canaria Sur
3501102001|3501102|35011|3501102|35011|GAU Gran Canaria Sur
3501102002|3501102|35011|3501102|35011|GAU Gran Canaria Sur
3501102003|3501102|35011|3501102|35011|GAU Gran Canaria Sur
3501103001|3501103|35011|3501103|35011|GAU Gran Canaria Sur
3501103002|3501103|35011|3501103|35011|GAU Gran Canaria Sur
3501103003|3501103|35011|3501103|35011|GAU Gran Canaria Sur
3501103004|3501103|35011|3501103|35011|GAU Gran Canaria Sur
3501103005|3501103|35011|3501103|35011|GAU Gran Canaria Sur
3501103006|3501103|35011|3501103|35011|GAU Gran Canaria Sur
3501103007|3501103|35011|3501103|35011|GAU Gran Canaria Sur
3501103008|3501103|35011|3501103|35011|GAU Gran Canaria Sur
3501201001|3501201|35012|35012|35012|GAU Gran Canaria Sur
